centre,intensity,sigma,log_likelihood,log_prior,log_posterior,weights
51.81767560611733,1.2365219115709223,10.32682556119896,-54558.83013894366,0.8108562986857117,-54558.01928264497,1.0
51.713943273616934,1.1528188614028148,9.8845269900807,-54576.87398932996,0.8677056453483835,-54576.00628368461,1.0
50.30566453296117,1.0452745929310054,9.708124652600523,-54620.92298189479,0.9583902364966599,-54619.964591658296,1.0
51.46780036081719,1.0033149961750751,9.939605025750591,-54667.70236379932,0.9967689077740661,-54666.705594891544,1.0
50.37994564518102,1.1024113588870317,10.053075778891202,-54609.030453998974,0.9071587503508255,-54608.123295248624,1.0
50.40167846708945,1.0569723776594293,10.026500364018684,-54634.66915182492,0.9461125633191414,-54633.723039261604,1.0
51.23615725136528,1.1343945850571955,10.117014799012471,-54598.58943878351,0.8818013293597435,-54597.70763745415,1.0
50.24877408702023,1.134766928053414,10.210796181665174,-54599.88410100637,0.8821269313616682,-54599.00197407501,1.0
48.44522378864061,1.146220350694633,10.117405981832233,-54595.2130817741,0.872708282655021,-54594.34037349145,1.0
52.14065840336611,1.5559527993932039,10.5509039625156,-54399.86676625201,0.6487629211920982,-54399.21800333082,1.0
49.77579986903684,1.0089222448360164,9.983636857566083,-54660.79254539725,0.9911620126783856,-54659.80138338457,1.0
51.256497736182354,1.117197827081135,9.95599169929958,-54598.39728517979,0.8951353556026747,-54597.502149824184,1.0
50.403618994034126,1.0814622342456006,9.970213613277243,-54616.27264133412,0.924691735340281,-54615.347949598785,1.0
50.39190762898119,1.2663163487994578,10.374869475348094,-54534.452070755375,0.7925026292453687,-54533.65956812613,1.0
50.78555827703213,1.0709042718490354,10.018691949796864,-54627.184928641545,0.9337972679075737,-54626.25113137364,1.0
50.82766754744961,0.9939814076296074,10.070632806045877,-54676.71183479207,1.0061548150246,-54675.70567997704,1.0
50.76736079752801,1.1054405856986054,10.031528722359537,-54607.19567860751,0.9046365679262305,-54606.291042039586,1.0
51.419772454456336,1.1893759995727085,10.060635847037467,-54563.89245557959,0.840850546904831,-54563.051605032684,1.0
50.1851821317212,0.9988941105128096,10.0166316680713,-54668.72168560179,1.0011126460803959,-54667.72057295571,1.0
51.43141156362874,1.066774868576916,10.205443547988882,-54645.57861077374,0.9382490513388557,-54644.6403617224,1.0
